name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
litkillah,Spanish,personality,Grand Theft Auto V,3.4,9.053,69.452,1.7,1.115,2680000,20400000,18,1.6,Tuesday,Friday
doublelift,English,personality,League of Legends,4.8,962.0,65.89,1.1,6.108,1790000,102000000,50,3.2,Friday,Tuesday
maya,English,personality,Just Chatting,3.1,888.0,21.487,1.3,2.996,815000,19700000,89,3.5,Friday,Monday
scump,English,personality,Call of Duty: Warzone,5.2,1.506,32.447,1.2,5.777,1690000,42700000,58,2.9,Thursday,Sunday
cdawgva,English,personality,Just Chatting,5.4,1.907,13.67,2.0,3.668,1270000,9130000,352,1.8,Wednesday,Monday
tisischubech,German,personality,FIFA 23,5.4,1.261,2.501,1.5,1.994,460000,902000,24,2.6,Sunday,Wednesday
therealmarzaa,Italian,personality,Fortnite,5.5,888.0,8.19,3.6,10.623,1510000,13900000,452,6.4,Monday,Tuesday
ravshann,Russian,personality,Just Chatting,3.3,496.0,1.964,1.6,3.215,482000,1910000,48,3.5,Wednesday,Sunday
nix,Russian,personality,Dota 2,6.8,942.0,22.722,1.9,5.242,776000,18700000,59,2.8,Saturday,Sunday
jcorko_,Spanish,personality,Grand Theft Auto V,4.6,814.0,14.052,1.7,3.9,750000,12900000,54,2.4,Monday,Monday
martinciriook,Spanish,personality,Just Chatting,1.8,298.0,558.0,1.0,1.031,180000,313000,17,4.2,Tuesday,Tuesday
twitchrivals,English,esports,League of Legends,4.4,4.361,481.615,1.1,3.01,2440000,269000000,122,2.1,Thursday,Sunday
runthefutmarket,English,personality,FIFA 19,4.3,404.0,8.337,1.3,9.186,928000,19100000,53,5.5,Friday,Monday
rebeudeter,French,personality,Grand Theft Auto V,3.2,4.004,29.395,1.4,1.28,1500000,11000000,95,1.4,Thursday,Sunday
